,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
55,Slide Away,Miley Cyrus,1273423,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
56,Motivation,Normani,1270808,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
57,Behind Barz - Bonus,Drake,1222084,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
58,Camelot,NLE Choppa,1198645,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
59,Happier,Marshmello,1194179,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
60,Ride It,Regard,1193003,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
61,223's (feat. 9lokknine),YNW Melly,1188275,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
62,Con Calma,Daddy Yankee,1157263,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
63,Teeth,5 Seconds of Summer,1150754,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
64,You Need To Calm Down,Taylor Swift,1144516,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
65,Sucker,Jonas Brothers,1144245,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
66,If I Can't Have You,Shawn Mendes,1141756,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
67,Hot (feat. Gunna),Young Thug,1127410,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
68,Bohemian Rhapsody - Remastered 2011,Queen,1096726,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
69,A Thousand Bad Times,Post Malone,1080470,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
70,Talk,Khalid,1069681,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
71,Post Malone (feat. RANI),Sam Feldt,1069094,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
72,lovely (with Khalid),Billie Eilish,1068946,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Roller,Apache 207,1064565,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
74,September,"Earth, Wind & Fire",1059386,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
75,200 km/h,Apache 207,1019710,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
76,Old Town Road,Lil Nas X,1014359,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
77,One Thing Right,Marshmello,1009720,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
